"","Location","Store_Type","Product_Variety","Traffic","Store_Size","Staff_Efficiency","Store_Age","Competitor_Distance","Monthly_Promotions","Economic_Indicator","Marketing_Expense","Monthly_Sales"
"675","Sacramento","Electronics",235,1743,279,73.8,8,12,4,95.8,10000,186770
"676","San Francisco","Clothing",507,2506,376,86.5,10,12,3,98.8,10000,361790
"677","Los Angeles","Clothing",423,1730,327,54.2,16,6,6,120,32000,319080
"678","Los Angeles","Electronics",567,1736,78,64,12,9,7,105.7,44000,230170
"679","Palo Alto","Grocery",368,1997,123,55,4,10,5,127.2,19000,258970
"680","Palo Alto","Grocery",600,1868,451,54.6,10,8,6,122.9,26000,341500
"681","Los Angeles","Grocery",422,2374,161,61.5,4,8,5,107.8,27000,220430
"682","Palo Alto","Electronics",745,1902,307,68.4,15,7,7,95.4,49000,346810
"683","Sacramento","Electronics",654,1885,153,84,28,8,4,84.9,15000,276460
"684","Sacramento","Clothing",284,1333,382,50.2,16,8,5,122,21000,220860
"685","Los Angeles","Grocery",631,2937,180,71.7,20,9,3,81.3,9000,272450
"686","Palo Alto","Clothing",433,2247,392,55.3,24,9,6,105.1,34000,340910
"687","Palo Alto","Electronics",357,953,320,63.8,16,13,6,92.6,34000,246540
"688","Sacramento","Grocery",490,1213,329,62,8,11,8,129.2,47000,264180
"689","Palo Alto","Grocery",456,1921,214,52.9,22,2,4,102.6,21000,305490
"690","Sacramento","Clothing",615,1627,493,58.4,19,14,3,123.3,5000,356230
"691","Sacramento","Clothing",548,2183,185,82.7,29,12,5,98.4,26000,246740
"692","San Francisco","Grocery",116,1125,425,67.8,25,9,7,66.6,46000,241240
"693","Los Angeles","Clothing",303,2706,398,73.2,18,15,4,70.2,7000,264290
"694","Los Angeles","Electronics",446,2389,292,55.5,8,13,7,89.4,39000,306260
"695","Palo Alto","Clothing",364,1888,358,84.1,17,7,7,82.9,43000,254140
"696","Palo Alto","Grocery",553,1515,378,56.2,17,10,5,102.8,25000,319470
"697","Los Angeles","Clothing",500,2972,109,55.8,28,12,4,119.9,10000,281790
"698","Palo Alto","Electronics",553,2656,69,59.8,11,11,8,128.3,45000,265630
"699","San Francisco","Clothing",650,1770,388,68.1,10,13,7,93,39000,360250
"700","Sacramento","Clothing",776,2543,310,51.8,23,10,4,102.5,20000,360570
"701","Los Angeles","Grocery",120,1524,129,66,13,13,6,92.8,36000,184140
"702","Palo Alto","Electronics",471,2332,484,67.1,12,9,6,92.9,38000,365670
"703","Los Angeles","Grocery",371,2428,397,59.4,17,9,3,123.6,6000,277260
"704","San Francisco","Electronics",379,2516,306,70.7,18,4,4,90.8,10000,298900
"705","Sacramento","Electronics",192,1314,334,79,26,17,3,93.8,5000,209840
"706","San Francisco","Clothing",426,2309,304,56.9,17,10,3,86.7,10000,252060
"707","San Francisco","Electronics",263,630,140,53.6,22,16,4,86.4,6000,218390
"708","Palo Alto","Electronics",436,1673,73,56.2,13,7,7,88.1,47000,174980
"709","Sacramento","Grocery",431,3264,188,79,30,9,6,107.9,28000,255730
"710","Sacramento","Electronics",495,2279,225,78.7,15,13,7,96,36000,316100
"711","Los Angeles","Electronics",544,2372,314,55.1,10,9,5,115.6,23000,365330
"712","Sacramento","Clothing",779,1851,477,89.5,5,9,5,111.4,26000,471580
"713","Sacramento","Grocery",591,1163,351,61.6,10,6,6,103.2,31000,324320
"714","Sacramento","Grocery",358,1885,332,58.3,10,8,8,88.3,49000,268470
"715","Palo Alto","Electronics",667,1384,465,63.8,12,10,4,124.7,11000,365090
"716","San Francisco","Electronics",420,1291,408,85.2,11,8,4,111,21000,337740
"717","Sacramento","Grocery",391,1653,370,71.8,25,8,4,136.9,13000,253820
"718","Los Angeles","Electronics",519,2229,418,90.3,18,9,6,98.9,34000,375530
"719","Sacramento","Clothing",549,1512,352,75.4,10,11,5,106.5,31000,372230
"720","Palo Alto","Grocery",334,1989,75,83.7,14,8,8,95.3,48000,238910
"721","San Francisco","Clothing",651,2106,246,64.5,16,12,4,121.5,19000,346050
"722","San Francisco","Electronics",535,2180,189,73,22,9,7,107.3,43000,277970
"723","San Francisco","Grocery",556,1797,497,62.5,13,4,5,89.9,22000,407300
"724","Palo Alto","Clothing",638,1940,122,82.5,28,13,7,110.5,39000,317010
"725","Sacramento","Grocery",582,1160,381,77.7,10,11,6,108.8,41000,313680
"726","Sacramento","Grocery",360,1569,439,70.1,11,9,6,132.9,31000,261250
"727","Los Angeles","Clothing",375,1389,219,63.9,1,9,6,121,39000,280250
"728","Los Angeles","Grocery",483,2099,75,70.8,20,17,5,93,17000,244130
"729","Sacramento","Grocery",507,2225,421,80.6,12,15,4,107.9,6000,380030
"730","Sacramento","Grocery",662,2619,95,94.8,6,11,7,113.2,45000,321360
"731","San Francisco","Grocery",483,1935,371,72.7,2,10,6,68.6,27000,302370
"732","San Francisco","Electronics",368,2514,335,86.8,18,10,5,96.4,20000,287380
"733","Sacramento","Grocery",205,2564,441,90.8,27,6,6,81.4,33000,279120
"734","Los Angeles","Grocery",394,1501,180,81.7,15,13,6,77.1,30000,287940
"735","Sacramento","Electronics",381,2005,258,84.3,1,11,8,109.4,48000,287940
"736","Palo Alto","Electronics",546,2244,124,65,29,14,6,121.2,40000,225870
"737","San Francisco","Electronics",235,2394,195,58.8,10,8,7,83.3,46000,172450
"738","Palo Alto","Electronics",512,2289,330,91.8,12,10,4,71.2,10000,354110
"739","Palo Alto","Clothing",493,1704,331,53.7,27,13,3,77.7,10000,267630
"740","Sacramento","Grocery",770,2454,427,66.4,29,13,4,84.3,10000,443350
"741","San Francisco","Grocery",600,1691,379,79.1,6,7,5,103.3,32000,386700
"742","Palo Alto","Clothing",320,1698,129,88.9,2,10,7,93.3,44000,197000
"743","San Francisco","Electronics",237,1155,53,55.2,16,7,6,109.5,27000,191320
"744","San Francisco","Electronics",369,1834,51,79.5,30,9,5,104.4,26000,177650
"745","San Francisco","Grocery",347,1768,90,61.7,16,14,7,98.9,35000,169020
"746","San Francisco","Clothing",459,1868,358,93.3,5,8,8,76.4,49000,275140
"747","Los Angeles","Clothing",418,1851,204,63.9,17,9,5,114.7,15000,235040
"748","Palo Alto","Clothing",717,2178,312,50.5,27,14,5,107.9,29000,348810
"749","San Francisco","Electronics",562,2022,109,71.9,1,6,5,117.6,16000,249540
"750","Sacramento","Clothing",362,1643,322,55.5,5,17,7,96.4,42000,250550
"751","San Francisco","Clothing",257,1923,91,75.5,16,10,6,102,35000,202670
"752","Los Angeles","Clothing",445,1973,100,73.7,9,8,7,88.2,48000,236740
"753","Palo Alto","Clothing",407,2535,436,64.6,22,11,5,113.2,23000,352860
"754","Palo Alto","Grocery",385,1582,93,83.3,8,1,4,104.5,5000,166210
"755","Palo Alto","Grocery",278,2148,237,62.6,18,13,6,83.5,26000,268990
"756","Los Angeles","Electronics",481,901,476,92.7,15,10,7,107.5,46000,338290
"757","San Francisco","Electronics",333,1767,120,77.9,16,10,7,104.1,44000,183550
"758","Palo Alto","Clothing",628,2346,343,80.4,28,15,7,121,39000,375080
"759","San Francisco","Grocery",548,1854,410,64,6,8,7,112.9,43000,386070
"760","San Francisco","Clothing",569,2083,100,60.8,15,4,5,85.1,17000,234470
"761","San Francisco","Grocery",738,2812,161,80.7,17,12,3,103.3,10000,367600
"762","San Francisco","Clothing",291,2585,121,84.7,1,12,7,105.7,45000,174990
"763","Los Angeles","Grocery",676,2295,110,72.8,8,9,5,119.6,31000,278290
"764","Palo Alto","Grocery",466,2487,361,76.8,13,11,5,89.7,20000,281800
"765","San Francisco","Electronics",481,1470,180,90.9,3,15,7,138,36000,280050
"766","Sacramento","Clothing",485,1473,206,71.7,10,13,5,119.4,30000,280340
"767","San Francisco","Electronics",554,2382,448,84.4,7,10,4,104.6,6000,392980
"768","Los Angeles","Grocery",650,2225,149,55,24,14,7,110.6,40000,268680
"769","Palo Alto","Clothing",558,2670,178,63.3,2,14,7,114.4,35000,261680
"770","Sacramento","Grocery",604,2270,356,81.8,7,11,4,116.7,10000,346330
"771","Sacramento","Clothing",699,2065,70,53.8,3,11,4,125.4,14000,247360
"772","San Francisco","Clothing",366,2430,453,56.4,24,13,3,133.4,10000,287150
"773","Palo Alto","Electronics",359,2053,118,79.2,12,4,6,99,36000,232320
"774","Los Angeles","Electronics",437,1678,155,78.9,26,10,7,85.5,44000,296920
"775","Palo Alto","Electronics",487,1766,243,55.3,21,17,5,104.7,31000,246210
"776","Palo Alto","Clothing",637,2742,406,89.8,16,2,6,101.8,33000,426740
"777","Los Angeles","Grocery",530,2121,280,61.8,21,12,6,94.6,38000,303850
"778","Palo Alto","Electronics",197,2861,262,58.5,21,14,3,135.6,12000,218500
"779","Sacramento","Clothing",586,2202,395,64,23,7,4,108.9,19000,339180
"780","Los Angeles","Electronics",343,2161,338,85.4,22,15,6,101.5,29000,312850
"781","Los Angeles","Electronics",294,2406,300,72,7,14,5,110.9,20000,222850
"782","San Francisco","Clothing",462,1621,347,90.5,30,5,8,89.6,42000,356460
"783","Palo Alto","Grocery",492,2280,281,75.6,22,8,7,97.7,39000,326490
"784","San Francisco","Electronics",530,1956,126,63.6,3,9,7,76.1,48000,227090
"785","Los Angeles","Clothing",576,1441,176,64.7,28,10,6,107.7,27000,281130
"786","San Francisco","Grocery",678,2173,289,60,14,11,4,69.6,7000,325950
"787","San Francisco","Electronics",725,1790,147,94.5,5,8,6,103.2,31000,380310
"788","San Francisco","Grocery",567,500,51,82.7,10,10,7,101.2,46000,293560
"789","Palo Alto","Electronics",522,2120,310,78,21,8,8,99.8,48000,293600
"790","Los Angeles","Electronics",209,2326,368,70.3,23,17,7,110.5,39000,213810
"791","Palo Alto","Grocery",256,2205,149,64.2,12,5,8,107.5,47000,142950
"792","Palo Alto","Grocery",423,1429,455,71.1,2,11,5,80.2,25000,332990
"793","Palo Alto","Electronics",767,2189,473,60.5,1,4,3,95.4,6000,461170
"794","Palo Alto","Electronics",423,2554,146,74.7,26,12,7,99.6,45000,279150
"795","Sacramento","Electronics",423,3348,301,72.9,14,8,6,112.2,35000,256220
"796","Los Angeles","Clothing",551,2462,387,66.7,8,11,5,79.4,20000,345550
"797","Los Angeles","Electronics",488,2506,492,70.7,17,7,6,111.9,33000,393610
"798","San Francisco","Electronics",299,2273,110,81.9,26,10,6,114.7,38000,157650
"799","Palo Alto","Electronics",273,1187,187,84.5,13,9,3,100.3,10000,226710
"800","Sacramento","Clothing",271,2207,175,89.9,19,16,7,103.8,40000,231110
"801","Los Angeles","Grocery",286,1550,368,63.4,7,12,6,108.7,39000,306670
"802","San Francisco","Clothing",527,1408,52,51.5,10,5,7,104.3,47000,230970
"803","San Francisco","Grocery",508,2229,53,58.3,25,8,8,105.9,47000,229140
"804","Palo Alto","Clothing",536,2183,271,50.7,6,12,7,105.3,39000,288640
"805","Los Angeles","Clothing",619,2217,101,83.7,4,11,6,85.8,24000,329190
"806","Sacramento","Grocery",774,2460,59,89.1,13,7,4,80.8,6000,331240
"807","Los Angeles","Clothing",684,2119,433,55.4,27,13,6,100.4,34000,358740
"808","Los Angeles","Clothing",240,2696,432,79.7,11,5,5,95.8,33000,272450
"809","Sacramento","Electronics",100,2562,471,61.9,27,11,7,89.6,42000,228590
"810","Los Angeles","Grocery",396,2797,287,93.5,16,14,4,114.4,12000,254010
"811","San Francisco","Clothing",340,2742,134,64.1,29,17,5,104.2,23000,183240
"812","Sacramento","Grocery",450,2144,363,75.4,17,1,6,95.4,29000,309540
"813","Sacramento","Electronics",504,1247,490,72.1,12,12,5,105.9,24000,339140
"814","Los Angeles","Electronics",547,1599,373,80.5,25,6,7,79.3,42000,320180
"815","Sacramento","Grocery",499,1889,142,55.4,6,10,6,89,35000,304730
"816","Palo Alto","Clothing",377,1031,481,73.9,20,15,4,134.4,11000,350040
"817","Sacramento","Grocery",322,1881,366,64.8,3,8,6,103.2,30000,285030
"818","Palo Alto","Electronics",504,1573,193,70.3,30,8,5,125.4,14000,307160
"819","Palo Alto","Clothing",446,2141,337,94.6,10,6,7,98.9,35000,335740
"820","Los Angeles","Clothing",596,812,126,79.7,7,12,3,71.3,10000,242980
"821","Sacramento","Clothing",470,1760,220,64.8,8,11,4,123.9,8000,303510
"822","San Francisco","Electronics",573,1535,114,92.1,28,11,7,85.2,40000,284960
"823","Los Angeles","Electronics",289,1416,331,82.9,8,6,7,99.6,42000,208070
"824","Los Angeles","Grocery",513,2579,351,54.9,9,10,5,123.1,24000,284050
"825","Sacramento","Electronics",461,2240,82,54.5,19,11,4,90.8,8000,273120
"826","Los Angeles","Clothing",735,1561,371,78.8,25,7,3,97.2,6000,400480
"827","San Francisco","Electronics",596,1083,361,66.9,2,13,6,107.1,37000,347060
"828","Sacramento","Electronics",408,1473,161,70.9,6,4,6,70.2,27000,195250
"829","Sacramento","Clothing",695,2590,101,64.7,5,13,6,106.9,35000,332730
"830","Palo Alto","Grocery",430,1946,457,65.8,3,9,6,107,36000,329890
"831","Los Angeles","Clothing",301,2018,369,58.2,9,9,3,92.3,5000,305860
"832","Palo Alto","Grocery",579,3083,400,94.1,18,9,8,101.5,47000,351310
"833","Sacramento","Grocery",504,1616,428,57.4,25,9,8,104.2,41000,384670
"834","Palo Alto","Electronics",627,2558,399,80.3,17,13,7,98.4,46000,331680
"835","Palo Alto","Electronics",753,2282,113,52.3,13,14,4,101.7,5000,341880
"836","Los Angeles","Grocery",390,2921,496,54.9,4,7,7,102.9,46000,346190
"837","Sacramento","Clothing",634,1437,283,57.5,30,12,5,128.3,19000,377680
"838","San Francisco","Clothing",372,2089,405,73,20,17,3,124,5000,343250
"839","Sacramento","Grocery",709,1206,164,74.1,23,13,6,92.5,29000,286070
"840","Sacramento","Electronics",409,2217,327,63.6,18,13,5,89.1,32000,247020
"841","San Francisco","Electronics",476,2659,80,55.9,15,8,7,83.5,45000,245300
"842","San Francisco","Clothing",677,1691,61,52.7,15,9,4,111,18000,319630
"843","Los Angeles","Grocery",529,2926,194,58.1,17,11,5,100,25000,279110
"844","Palo Alto","Clothing",132,2766,137,79.5,16,9,7,92.9,35000,106710
"845","San Francisco","Clothing",738,1367,99,66.1,30,9,5,101.6,27000,313310
"846","Sacramento","Clothing",404,2044,147,84.6,23,10,7,69.9,49000,269690
"847","San Francisco","Electronics",722,1936,203,94.4,24,7,7,82.6,38000,395780
"848","Los Angeles","Electronics",476,2379,376,57.7,27,12,4,114.5,10000,276980
"849","San Francisco","Grocery",342,2560,97,83.5,29,9,6,95.5,25000,210860
"850","Los Angeles","Grocery",597,2804,89,54.1,7,5,5,112.6,13000,232610
"851","Los Angeles","Grocery",457,1276,68,68.3,6,6,6,90.8,30000,247770
"852","Sacramento","Electronics",780,2351,473,63.6,14,10,3,117,9000,457640
"853","Palo Alto","Clothing",659,1810,281,58.8,26,8,4,114.7,11000,299480
"854","Palo Alto","Clothing",431,2000,339,51.2,27,17,8,80.7,47000,318740
"855","San Francisco","Clothing",737,2501,241,69.7,24,10,7,123.2,47000,394550
"856","Palo Alto","Clothing",539,2598,426,51.9,6,11,7,97.5,33000,352730
"857","San Francisco","Grocery",239,2236,358,70.5,30,8,6,97.7,35000,269330
"858","San Francisco","Grocery",455,2642,482,84.7,25,16,6,101.8,29000,390630
"859","Los Angeles","Grocery",455,1065,186,82.9,13,9,5,115.6,19000,232390
"860","Palo Alto","Clothing",584,2532,272,76.7,6,13,8,84.1,50000,321910
"861","Palo Alto","Electronics",518,2583,377,80.7,16,9,4,115.3,17000,369030
"862","Sacramento","Grocery",356,2324,446,91.9,25,12,5,118.8,22000,350100
"863","San Francisco","Electronics",595,2015,194,74.2,20,16,5,99,32000,321530
"864","Los Angeles","Electronics",339,2255,60,54.9,18,7,6,106.2,25000,206870
"865","Palo Alto","Clothing",348,1611,253,73.4,6,15,4,111.4,23000,291830
"866","Sacramento","Clothing",557,1487,388,61.4,9,8,5,106.7,32000,315480
"867","Los Angeles","Grocery",370,1452,60,93,2,15,6,104.5,24000,197060
"868","San Francisco","Electronics",568,2230,156,60.7,4,15,5,107.8,24000,238050
"869","Palo Alto","Clothing",484,1431,108,73.4,11,9,8,83.7,46000,207190
"870","Los Angeles","Electronics",640,1442,309,83.2,7,11,5,117.5,13000,383650
"871","Palo Alto","Grocery",601,2654,233,94.5,21,8,7,91.6,41000,329000
"872","Palo Alto","Clothing",424,2427,109,94.1,27,6,7,90.4,48000,279990
"873","Palo Alto","Electronics",408,2345,148,76.3,13,11,4,82.1,12000,273060
"874","Palo Alto","Grocery",504,2477,416,62.9,2,16,5,108,26000,362810
"875","Sacramento","Grocery",465,2451,263,78.5,14,4,6,99.3,37000,308640
"876","Los Angeles","Electronics",552,1998,492,89.8,2,5,8,90,43000,368480
"877","Palo Alto","Electronics",437,2006,447,54.7,17,8,7,126.4,37000,287970
"878","Sacramento","Grocery",481,2193,330,63.1,30,11,4,95.9,10000,269310
"879","San Francisco","Grocery",431,2521,100,83,11,5,8,101.5,48000,238410
"880","Los Angeles","Clothing",549,2615,109,81.2,3,13,4,87.6,16000,251280
"881","Palo Alto","Grocery",515,1694,445,72.2,16,8,6,112.5,36000,327830
"882","Los Angeles","Electronics",723,1226,273,77.6,14,7,5,85.7,19000,358230
"883","Los Angeles","Clothing",616,1970,416,56.9,23,17,7,107.3,40000,360530
"884","San Francisco","Clothing",350,2571,205,87,20,11,5,89.5,16000,281000
"885","Palo Alto","Clothing",398,2344,178,92.5,13,7,4,90,21000,262300
"886","Los Angeles","Grocery",505,2146,72,74.7,3,6,3,98.9,8000,193440
"887","Palo Alto","Electronics",437,1653,139,58.4,11,9,3,94.5,12000,234430
"888","Palo Alto","Grocery",622,3574,158,75.4,12,12,7,112.9,39000,309670
"889","Palo Alto","Clothing",559,2434,341,75.1,22,14,6,83.6,24000,331240
"890","Palo Alto","Grocery",373,1756,179,54.4,28,9,6,91.9,22000,273890
"891","Sacramento","Electronics",889,1494,168,87.4,5,6,4,101.9,8000,401490
"892","Los Angeles","Clothing",325,2254,90,71.1,18,12,6,112.4,34000,194590
"893","Los Angeles","Clothing",351,655,360,85.2,8,5,4,101.7,6000,258100
"894","San Francisco","Grocery",529,2101,264,86.3,6,11,4,101.8,7000,305740
"895","Palo Alto","Clothing",352,2396,384,74.3,26,13,6,94.6,36000,328540
"896","San Francisco","Grocery",611,1673,415,65.2,4,13,7,103.5,32000,357050
"897","Los Angeles","Grocery",530,1991,443,73.5,12,12,5,106.3,27000,399960
"898","San Francisco","Electronics",670,1458,414,51.4,4,8,6,100.4,32000,414060
"899","San Francisco","Grocery",545,1887,250,93.1,8,12,5,100.2,28000,329540
"900","Palo Alto","Grocery",422,1645,60,71,21,11,6,105,32000,227820
"901","Los Angeles","Clothing",679,1876,298,73.5,17,7,3,70.5,5000,345460
"902","Sacramento","Grocery",483,2253,213,93.5,23,8,4,113.3,21000,269670
"903","Los Angeles","Grocery",360,1540,423,94.6,26,6,8,86,45000,309950
"904","Los Angeles","Electronics",511,2404,135,84.1,21,7,7,80.7,47000,244290
"905","Sacramento","Clothing",416,1943,460,56.1,26,14,4,120,8000,360450
"906","Los Angeles","Clothing",593,2452,442,52.9,26,3,6,101.6,26000,354400
"907","San Francisco","Grocery",645,1332,453,78.6,20,13,7,94.9,41000,442540
"908","San Francisco","Clothing",405,1222,396,55,19,11,3,86.6,6000,279370
"909","Sacramento","Grocery",623,2194,479,66.3,12,5,6,92.8,35000,438570
"910","Los Angeles","Grocery",506,2204,405,60.1,27,12,5,118.3,19000,358200
"911","Palo Alto","Grocery",601,1426,290,83.1,16,14,4,97.2,7000,369090
"912","San Francisco","Electronics",402,1940,464,91.5,20,10,5,83.6,24000,375770
"913","Los Angeles","Grocery",770,2056,184,72.3,22,5,7,107.2,39000,322520
"914","San Francisco","Grocery",347,1167,298,67.6,8,7,5,64.5,19000,283390
"915","Sacramento","Clothing",625,1534,277,81.7,7,8,7,99.2,37000,324280
"916","Palo Alto","Electronics",455,2540,231,77,15,11,4,79.1,16000,250630
"917","Los Angeles","Clothing",407,1942,490,72.3,27,9,4,74.7,17000,323230
"918","Sacramento","Grocery",434,1041,219,89.4,6,10,7,88.2,46000,252820
"919","Los Angeles","Clothing",444,2794,451,83.2,25,11,3,84.4,8000,306290
"920","Los Angeles","Clothing",541,1888,306,90.1,15,8,7,101.9,31000,346120
"921","Sacramento","Electronics",685,1631,287,70.7,12,14,6,88,43000,401150
"922","Sacramento","Electronics",391,1935,412,84.9,6,11,6,93,37000,269500
"923","Palo Alto","Electronics",391,2100,115,83.1,24,6,6,104.7,27000,210980
"924","San Francisco","Clothing",524,1879,201,76.9,18,10,4,120.8,13000,301750
"925","Sacramento","Clothing",461,1907,306,80.9,27,6,6,104.5,25000,323400
"926","Los Angeles","Electronics",543,2285,497,71.8,15,13,6,102.8,22000,335660
"927","Sacramento","Clothing",533,1223,124,74.4,1,11,7,89.7,40000,301180
"928","Palo Alto","Clothing",864,1652,440,55.1,29,13,6,97.4,32000,471020
"929","Sacramento","Grocery",538,1565,304,53.3,26,5,5,98.4,23000,325150
"930","Palo Alto","Grocery",573,2065,110,66.1,7,12,5,90.2,24000,230530
"931","Palo Alto","Electronics",552,1388,111,73,22,4,5,92,24000,254790
"932","Los Angeles","Clothing",322,2194,207,85.7,24,4,4,95.3,24000,278560
"933","Sacramento","Grocery",694,1363,159,53.4,1,9,7,113.6,46000,273070
"934","San Francisco","Clothing",408,1376,360,63.2,26,12,4,102.2,13000,316780
"935","Sacramento","Electronics",370,2584,284,74.4,10,9,6,127.6,41000,229920
"936","Los Angeles","Clothing",587,2656,319,62.6,27,8,3,98.9,9000,317190
"937","Sacramento","Electronics",410,1712,479,69.5,22,7,4,89,10000,331260
"938","Sacramento","Grocery",712,2744,174,76.3,2,6,6,120.3,33000,316050
"939","San Francisco","Grocery",638,2697,472,92,15,7,7,107.5,43000,386230
"940","San Francisco","Grocery",250,2127,250,58.2,3,7,8,98.6,49000,189980
"941","Sacramento","Clothing",617,1973,499,79.6,7,9,6,105.4,37000,382830
"942","Los Angeles","Electronics",422,1577,260,63.3,11,8,4,85.4,18000,223110
"943","Los Angeles","Electronics",610,2467,151,63,30,7,7,88.4,48000,294810
"944","Palo Alto","Grocery",280,2551,160,61.1,23,15,5,117.8,16000,173640
"945","Sacramento","Electronics",818,1654,497,52.1,6,8,6,99.1,36000,422050
"946","Palo Alto","Clothing",452,1092,324,57.5,3,8,4,115.5,19000,279970
"947","Palo Alto","Grocery",386,1937,468,81.8,13,6,7,94.9,40000,306110
"948","Los Angeles","Grocery",539,2512,257,67,10,11,4,121.2,15000,340890
"949","Sacramento","Grocery",575,2304,229,72.4,2,8,5,122.4,21000,318410
"950","San Francisco","Electronics",759,2112,123,54.6,23,7,4,84.4,8000,372540
"951","Sacramento","Clothing",616,1610,190,83.3,1,9,4,72.9,12000,302410
"952","Sacramento","Electronics",392,2964,210,55.3,2,13,6,99.4,39000,243910
"953","San Francisco","Grocery",305,2388,392,55,12,20,5,113.5,24000,231490
"954","Sacramento","Electronics",392,2280,352,59,26,14,4,117.5,14000,325350
"955","Palo Alto","Clothing",477,1436,220,67.3,25,7,3,88.8,8000,281070
"956","San Francisco","Grocery",525,2217,141,51,7,12,7,99.1,34000,257520
"957","San Francisco","Grocery",539,3002,411,65.1,27,7,3,88.6,6000,317660
"958","Sacramento","Electronics",196,2067,315,66.2,26,11,3,88.7,7000,255680
"959","Sacramento","Grocery",623,2141,228,58.6,2,12,4,115.6,21000,271960
"960","Los Angeles","Clothing",890,2009,381,74.2,19,7,4,135.1,9000,445620
"961","San Francisco","Clothing",629,2326,409,82.6,26,6,7,76.8,49000,361130
"962","Los Angeles","Clothing",501,2901,258,80.7,10,8,4,60,16000,263450
"963","Los Angeles","Clothing",398,1640,94,77.5,14,11,5,140,13000,247800
"964","Sacramento","Clothing",510,1987,477,80,5,14,4,71.6,8000,374180
"965","Palo Alto","Grocery",433,1841,349,53.5,6,8,4,108,5000,248040
"966","Palo Alto","Electronics",497,1338,386,53.1,21,12,4,96.1,13000,375570
"967","Sacramento","Grocery",533,1709,181,63,27,8,4,95.6,6000,241280
"968","San Francisco","Electronics",735,2619,344,52.5,22,8,4,92.5,9000,426080
"969","San Francisco","Clothing",579,2071,219,69.6,27,4,5,82.3,14000,300130
"970","San Francisco","Clothing",340,2698,200,66.3,27,7,6,110.2,33000,242770
"971","Los Angeles","Grocery",649,2150,333,71.8,29,9,7,99.4,39000,339150
"972","Palo Alto","Clothing",408,2110,276,93.2,28,8,7,92.2,49000,313530
"973","San Francisco","Clothing",377,2342,238,79.7,13,7,7,101,41000,302540
"974","Sacramento","Grocery",321,2141,407,78,14,12,4,120.2,10000,300290
"975","San Francisco","Electronics",370,1357,342,63.1,6,15,3,81.3,7000,303080
"976","Los Angeles","Clothing",579,1907,64,71.4,9,11,6,113.5,24000,296490
"977","San Francisco","Electronics",465,2023,236,52.2,12,7,6,94.8,39000,234230
"978","Los Angeles","Electronics",537,989,350,92.5,28,8,5,107.4,19000,381490
"979","Los Angeles","Grocery",557,2297,207,81.9,19,14,7,90,44000,275550
"980","Sacramento","Clothing",640,2485,282,56.9,4,12,5,110.6,15000,309240
"981","Palo Alto","Grocery",584,1909,90,52.2,16,10,4,108.9,17000,270420
"982","Palo Alto","Grocery",363,2096,149,89.6,17,8,3,134,8000,229720
"983","San Francisco","Grocery",377,1990,380,83.4,7,8,5,121.2,16000,283970
"984","San Francisco","Grocery",484,2875,235,90.3,26,14,7,93.1,39000,247350
"985","Palo Alto","Grocery",508,1201,131,55.1,18,13,6,108,28000,236990
"986","Palo Alto","Grocery",665,1699,255,69.2,12,10,5,113.3,22000,313720
"987","Los Angeles","Grocery",484,2476,81,92.1,9,9,8,69.4,49000,250250
"988","Los Angeles","Grocery",467,2836,130,77.1,29,7,4,107.4,20000,256150
"989","Los Angeles","Grocery",650,1874,358,60.8,17,7,5,92,25000,383340
"990","San Francisco","Clothing",262,2247,97,51.8,4,14,5,90,22000,219040
"991","Palo Alto","Grocery",221,1087,175,54.3,21,12,6,121.6,40000,210400
"992","Sacramento","Grocery",476,1609,492,80.1,19,15,6,81.7,32000,369020
"993","Los Angeles","Electronics",243,1515,355,78.3,16,7,5,83.5,23000,277410
"994","Sacramento","Electronics",514,1359,491,66.3,18,10,6,71.8,32000,346370
"995","Sacramento","Clothing",495,2204,491,73.2,4,12,5,77.9,32000,338050
"996","San Francisco","Clothing",729,1776,295,74.4,17,12,7,107,38000,410520
"997","Palo Alto","Clothing",588,2382,246,87.1,23,6,4,82.4,16000,362070
"998","Los Angeles","Electronics",297,2390,448,51.9,19,9,5,116.3,27000,293500
"999","Palo Alto","Grocery",162,2069,371,63.1,3,6,3,90.9,10000,183340
"1000","Palo Alto","Grocery",353,2585,370,87.5,17,9,4,84.4,9000,287630
"1001","Palo Alto","Clothing",328,2478,409,69.7,3,13,4,61.5,18000,278180
"1002","Palo Alto","Electronics",448,2657,226,56.3,22,7,5,103.5,33000,240090
"1003","Sacramento","Electronics",406,2619,72,71.9,5,8,8,95,43000,184250
"1004","Los Angeles","Clothing",497,2093,301,83.1,23,8,8,83.8,49000,278240
"1005","Palo Alto","Grocery",387,1940,99,59.5,27,9,7,92.9,37000,181550
"1006","San Francisco","Clothing",599,1528,311,88.2,1,9,5,115.2,18000,316950
"1007","Palo Alto","Clothing",545,1838,81,63.2,12,13,4,136.6,11000,273660
"1008","Sacramento","Electronics",713,1890,90,61.4,4,11,5,106,24000,301620
"1009","Los Angeles","Electronics",645,2408,426,52.3,17,16,7,89.9,43000,368130
"1010","Sacramento","Grocery",387,2105,253,57.7,15,14,6,104.6,27000,258330
"1011","Sacramento","Grocery",283,3436,397,82,24,12,7,83.7,48000,273150
"1012","San Francisco","Electronics",483,1867,186,67.2,21,9,4,107.6,23000,295250
